"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\ProfilePackagesTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 7, 71
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\useCreatePackage.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\useDeletePackage.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\useGetPackages.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 1, 6, 44
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\useUpdatePackage.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\TrainerPortfolio.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 60
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\about me\AboutMe.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\about me\AboutMeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 3, 12, 139
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\about me\useGetUserAboutData.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\about me\useUpdateUserAboutData.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\FreePlans.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\diets\CreateDietFreePlan.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\diets\DietsFreePlan.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\diets\DietsFreePlanTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\diets\DietsFreePlanTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 1, 6, 82
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\free plan\diets\useGetFreeDietPlans.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 1, 5, 45
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\gallery\Gallery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\gallery\qualifications\QualificationAndAchievement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 4, 7, 77
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\portfolio\gallery\qualifications\QualificationAndAchievementPhoto.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
